name,avg_price,recommended_dishes
储添福·现炒浇头面,￥34,酱爆猪肝拌面、酱爆猪肝炒面、炸猪排
阿元来了(合生汇店),￥40,时慢煮阿元卤肉饭、西门町蚵仔大肠面线、士林豪大大鸡排
子弹面馆(五角场店),￥28,鸡丁猪肝拌面、猪肝腰花拌面、老上海炸猪排
一勺米饭gelato,￥38,双料开心果、古法紫米饭、鲜紫苏红芭乐
素满香·全民食养自助(五角场合生汇店),￥32,小馄饨、手工煎饺、酥炸猴头菇
重庆麻辣烫(国权路店),￥30,麻辣烫、油条、花生酱
德元兰州纯汤牛肉面·清真(五角场店),￥39,兰州牛肉面、纯汤牛肉面、精美小菜
吉屋出猪(五角场万达店),￥30,招牌脂渣、黄金肉粒、瘦肉油渣
老碗会·陕西手工面(太平洋森活天地店),￥37,老碗会biangbiang面、陕西裤带油泼面、现烤肉夹馍
柳州肥姨妈大骨螺蛳粉(五角场店),￥30,原味柳州螺蛳粉、柳州冰渣豆腐花、金丝大炸蛋
笼香斋·上海小笼,￥32,鲜肉小笼、金牌炸猪排、鲜肉小馄饨
Popeyes炸鸡·汉堡·奶昔(五角场万达店),￥33,美式松脆原味鸡、黄金空气脆鸡柳、香辣酪乳鸡腿堡
阿祥嫂隆江猪脚饭(五角场店),￥34,隆江猪脚饭、四点金饭、猪脚拼烧鸭饭
裕莲茶楼(淞沪路店),￥26,焦糖可颂蛋挞、版纳溏心桃胶·临沧滇红、特浓茶钻琥珀奶
哈灵面馆(太平洋森活天地店),￥35,哈灵牛蛙面、香脆炸猪排、哈林牛蛙饭
王春春鸡汤饭(上海五角场万达店),￥30,姬松茸鸡汤饭、腌笃鲜鸡汤饭、竹荪鸡汤饭
方中山胡辣汤(五角场店),￥21,胡辣汤、牛肉盒、葱花油饼
云阿蛮云南生烫牛肉米线(太平洋森活天地店),￥34,招牌生烫牛肉米线、招牌生烫牛肉肉酱米线、玫瑰黑糖冰豆腐花
志大同,￥29,鲜肉小笼、鲜肉小馄饨、咸蛋黄小笼
屿见面(大学路店),￥39,沙茶面、蚵仔煎、豆腐包
牛敢鲜贵州酸汤牛肉粉(太平洋森活天地店),￥32,原汤鲜烫牛肉粉、酸汤肥牛粉、烈火牛肉
老相邻现炒浇头面·家常小炒,￥24,酱爆猪肝面、南翔小笼、招牌素鸡
陳香貴·兰州牛肉面(合生汇店),￥33,牛骨清汤兰州牛肉面、钢钎羊肉串、五香茶叶蛋
张正发茶餐厅(五角场店),￥26,发哥诚实饭、马来咖喱鸡扒饭、葱香叉烧滑蛋饭
有堂古·甘草水果(上海合生汇店),￥28,潮汕水果·红芭乐、潮汕水果·莲雾、潮汕水果·芝麻油柑
