name,avg_price,recommended_dishes
炙柒Sekinana·精致日料(合生汇店),￥148,铁板厚烧牛舌、黑松露鹅肝寿司、三文鱼腩刺身
帕蓝·暹罗料理(大学路店),￥117,黄咖喱牛肉、炸虾饼配泰国梅子酱、冬荫功海鲜汤
wvolla Brunch·Bar沃乐(大学路店),￥109,烟熏三文鱼班尼迪克蛋、wvolla秘制烤春鸡、奶油培根蘑菇意面
金时代顺风大酒店(四平路店),￥132,脆皮乳鸽、顺风虾饺皇、顺风臭豆腐
EMMETT·艾美餐厅,￥138,培根蘑菇奶油意面、芥末坚果风味羔羊排、低温牛舌
点都德(合生汇店),￥106,金莎红米肠、招牌虾饺皇、百合酱蒸凤爪
牛New寿喜烧(五角场百联店),￥169,寿喜锅、牛肩、肥牛
一绪に寿喜烧放题(合生汇店),￥182,招牌寿喜锅、焦糖布丁、刺身拼盘
花悦庭·果木烤鸭(合生汇店),￥185,传统北京果木烤鸭、美极椒盐鸭架、烤鸭饼
台州府·鲜活海鲜,￥158,石锅海胆豆腐、家烧黄鱼、台州麦饼
华粤鲜·粤菜(杨浦店),￥238,脆皮招牌乳鸽、香煎鹅肝酱藕饼、糟骨头肉饼蒸膏蟹
阿吉特韩式私房菜(五角场店),￥102,阿吉特包猪肉、阿吉特包猪蹄、阿吉特手工炸酱面
吃饭皇帝大(合生汇店),￥85,柴火稻草鱼、罐罐新晃牛肉、土家桂花红糖凉粉
蟹榭·本帮江浙菜·蟹宴(五角场合生汇商场店),￥188,蟹粉桃胶、蟹粉虾仁、香草鲜奶布丁
久竹の日本料理居酒屋(大学路店),￥122,牛肉寿喜锅、丹麦皇冠三文鱼刺身、融化鹅肝寿司
COMMUNE幻师(五角场店),￥94,炸薯条、幻师脆脆金沙翅、公社招牌烤春鸡
RiceSlurp饵块食光,￥81,老式香猪肉酱饵块、松露红心薯片、三冒热卤拌米线
纪录片《人生一串》体验店(大学路店),￥108,宜宾烤猪鼻筋、云南昭通小串、岳阳牛油
顺德凤城煲仔皇(大学路店),￥111,经典腊味煲仔饭、顺义公司奶冻、红豆双皮奶
万岛日本料理铁板烧(五角场店),￥498,刺身拼盘、鳌虾、牡丹虾
龙庭琇厨(五角场店),￥302,北京明炉烤鸭、文武火小牛肉、招牌铁锅局银鳕鱼
潮界(大学路店),￥95,潮汕牛肉丸、潮界湿炒牛肉河粉、潮界生滚牛肉粥
首尔朴宝·炭火烤肉(五角场店),￥99,厚切五花肉、土豆泥、特级雪花牛小排
八合里牛肉火锅(上海百联又一城店),￥99,吊龙伴、牛肉火锅、熟牛肉丸
牛小新烧肉·和牛放题(五角场店),￥172,牛五花、土豆泥、厚切牛舌
港丽餐厅(百联又一城店),￥95,珍宝蜂蜜厚多士、鲜虾胶酿脆皮鸡翅、港丽炒饭
五角场凯悦·The lounge西餐厅及酒吧,￥160,火焰澳大利亚战斧牛排、M5澳洲肉眼（150g）、腌制三文鱼薄片
金米箩大酒店(五角场店),￥150,菠萝色拉、特色水晶鸡、鲍汁灌汤虾球
吉腾日本料理居酒屋(大学路店),￥115,鹅肝握寿司、牛肉寿喜锅、牛肉炒乌冬
大馥·炭火烧肉酒场(五角场店),￥154,盐葱牛舌、牛五花、究极奶油菲力
太二酸菜鱼(上海合生汇店),￥94,蛋酥软糍粑、脆椒小皮蛋、麻婆豆腐
圈子老菜海鲜蒸坊(五角场店),￥180,海鲜粥锅底、波士顿龙虾、香酥牛蛙
Gather pizza,￥91,意式风干火腿、玛格丽特、萨拉米Salami
道道鲜·崇明私房菜(五角场店),￥208,红烧羊肉砂锅、崇明糕、崇明散养鸡
百山家•长白山果木碳火烤肉(武川路店),￥97,极上厚切牛舌、辣炒海鲜年糕、石锅拌饭
小声响酒馆·融合菜,￥98,辣笋墨凤足、一口阳春面、梨子酒
齐鲁壹号(三号湾广场店),￥153,手工鲅鱼饺子、九转大肠、精品烤鸭
丰和日丽·江浙本帮菜(创智天地店),￥148,老娘一手好牌、腊味鲳鱼焖饭、陈年花雕醉鸡
王品牛排(上海百联又一城店),￥247,王品牛排、酥皮玉米浓汤、牛小排清汤
厚贞日式烤肉(合生汇店),￥145,薄切牛舌、精选雪花牛小排、墨鱼香肠
潮州府·潮菜·砂锅粥(五角场店),￥142,招牌虾蟹砂锅粥、卤水拼盘、潮州蚝仔烙
郭姐·威海渔村(黄兴路店),￥144,葱油天鹅蛋、手工鲅鱼水饺、葱爆威海扇贝
石物恋·烧肉(五角场店),￥98,南瓜粥、厚切五花肉、秘汁肥牛
猫儿滩火锅(大学路1店),￥140,招牌红油锅底、鸭血、一直大牛蛙
首尔朴宝·炭火烤肉(复旦大学首店),￥98,特选五花肉、特级雪花牛小排、土豆泥
哥哥の深夜食堂(华润国华广场店),￥106,烤牛舌、鹅肝寿司、三文鱼刺身
新南华大酒店(黄兴店),￥172,北京烤鸭、古法现炸熏鱼、脆皮乳鸽
七彩云原生态云南菜,￥101,包烧牛肝菌、小锅米线、版纳烤罗非鱼
新南华大酒店(江湾店),￥160,脆皮乳鸽、老上海熏鱼、北京烤鸭
渔乐日本料理居酒屋(国定路店),￥111,厚切三文鱼、肥牛寿喜锅、鹅肝寿司
MARU玛露音乐餐厅(大学路店),￥151,炸薯条、碳烤特选澳洲谷饲西冷牛排、经典凯撒沙拉
牛排哈特(创智汇店),￥561,A5黑毛和牛、山羊奶巴伐露、松露油xo酱奶油火腿炖蛋
儒逸轩·苏浙菜(国华广场店),￥258,香煎带鱼、沙蒜烧豆面、宁式烤菜
狼来了·碳烤羊腿·碳火烧烤·羊肉炉团建(五角场总店),￥97,碳烤羊腿、碳烤羊排、炭烤扇贝
老吕小龙虾•东北大油边•烤鱼(关山路旗舰店),￥87,羊肉串、生蚝、扇贝
椰庭·椰子鸡·糟粕醋(合生汇店),￥120,原味椰子鸡、菌王椰子鸡、海南特色椰子饭
沪小胖·小龙虾(杨浦店),￥136,黄焖小龙虾、招牌去头去筋龙虾、招牌香辣龙虾
PIZZENELLA窑烤披萨·精酿啤酒,￥104,松露火腿蘑菇披萨、松露薯条、传统肉酱意面
佬肥猫(国华广场店),￥82,石锅土豆肥牛、外婆红烧肉、骨头有味道的酱鸭
今日牛事潮汕鲜牛肉火锅(五角场店),￥124,吊龙、潮汕牛肉丸、炸腐皮
七欣天香辣蟹火锅(上海杨浦国定东路店),￥115,波格力蟹、香辣船蟹锅、自助调料水果
南粤春·粤菜·海鲜·宴会(蓝天宾馆店),￥181,芝士焗波斯顿龙虾、金牌烤乳猪、南粤春全家福
佰草果·云贵菜,￥124,牛魔王拌饭（微辣）、现切黄牛肉、昂刺鱼
ibarrel爱杯·bistro&brunch(大学路店),￥124,芝士薯条配黑松露酱、烤肠拼盘、黑松露菌菇葱油拌面
阿三浙鲜馆·烟火小炒·夜宵(五角场店),￥109,油浸东海带鱼、熟醉大头虾、白切阉鸡
CRAZYONES西班牙海鲜饭(上海合生汇店),￥100,经典西班牙海鲜饭、蜜汁迷迭香烤鸡翅、黑松露烤蘑菇
杨府霸道私房火锅(国定路店),￥200,霸道鲜活牛蛙、霸道空运绿色毛肚、霸道蟹肉棒
福苗小骆驼烧烤(五角场店),￥86,招牌烤肉筋、古法熏肉大饼、涮菜
启东8号海鲜(五角场店),￥120,油浸吕四带鱼、海鲜大咖、启东农户白斩鸡
坠入Bistro·贵州夺夺粉火锅(大学路店),￥119,豆腐丸子、怪噜饭、夺夺粉锅底
醉庐·新上海菜(合生汇店),￥122,本帮熏鱼、石锅蟹粉豆腐、一品元宝虾
李氏宁夏牛羊肉涮锅(学府街店),￥106,热气羊肉、热气牛肉、烤羊肉串
费大厨辣椒炒肉(五角场万达店),￥82,费大厨辣椒炒肉、大王冰柠檬茶、皮蛋青椒擂茄子
锦湘缘酒楼(黄兴路店),￥99,双味鱼头、辣椒炒肉、小炒黄牛肉
朝和·炉端烧·烧鸟,￥154,朝和厚烧牛舌、京葱鸡腿肉、和牛海胆塔塔
红盔甲·小龙虾(五角场店),￥179,精品冰镇龙虾、精品酒醉龙虾、蒜蓉味龙虾
老北京碳锅涮羊肉(吉浦店),￥107,自制羊肉料、羊蝎子、十三香龙虾
厨创东北传家菜·夜宵(五角场万达店),￥82,排骨豆角一锅出、厨创大拉皮、地三鲜
五角场凯悦·中厨房,￥264,豉油清蒸笋壳鱼、XO酱芦笋炒澳洲带子、江南熏鱼
紫宴壹号,￥198,金牌牛气冲天、至尊佛跳墙、金牌北京烤鸭
四萬十·烧鸟酒场,￥288,紫苏梅肉、鸽腿鸽胸、烤活杀鳗鱼串
江西菜馆(国济路店),￥87,爆炒腰花、南昌炒粉、江西鸡爪
