name,avg_price,recommended_dishes
储添福·现炒浇头面,￥34,酱爆猪肝拌面、酱爆猪肝炒面、炸猪排
阿元来了(合生汇店),￥40,时慢煮阿元卤肉饭、西门町蚵仔大肠面线、士林豪大大鸡排
子弹面馆(五角场店),￥28,鸡丁猪肝拌面、猪肝腰花拌面、老上海炸猪排
BalaThÉ逛山·非遗普洱主题店(五角场店),￥30,滇·橄榄生普er、皇帝的宫廷普洱冬瓜珍珠、皇帝的金芽儿
熊治面包(百联又一城店),￥29,熊治大奶酥、可可蓝莓坚果乳酪包、核桃马里奥
一勺米饭gelato,￥38,双料开心果、古法紫米饭、鲜紫苏红芭乐
素满香·全民食养自助(五角场合生汇店),￥32,小馄饨、手工煎饺、酥炸猴头菇
重庆麻辣烫(国权路店),￥30,麻辣烫、油条、花生酱
德元兰州纯汤牛肉面·清真(五角场店),￥39,兰州牛肉面、纯汤牛肉面、精美小菜
吉屋出猪(五角场万达店),￥30,招牌脂渣、黄金肉粒、瘦肉油渣
未满coffee·下午茶,￥39,拿铁、柚见青提法式小蛋糕、柠檬巴巴露亚法式小蛋糕
沪食光老羌饼(百联又一城店),￥15,羌饼礼盒、鞋底酥、蟹壳黄
老碗会·陕西手工面(太平洋森活天地店),￥37,老碗会biangbiang面、陕西裤带油泼面、现烤肉夹馍
五代同糖•糖水甜品专门•店(上海大学路店),￥33,宇治牛奶麻薯、杨枝金露、宇治抹茶草莓冰
麦记牛奶公司(上海五角场巴黎春天店),￥20,麦麦大满贯、芒果白雪黑糯米、香芋黑米麻薯鲜奶
廣蓮申·海派點心(合生汇店),￥37,巧克力哈斗、咸口软泡芙、女王卷
小山堂(大学路店),￥26,手工冰淇淋、玫瑰酒酿米薏乳、轻体羽衣甘蓝汁
芋小鱼潮汕糖水(城市集市合生汇店),￥23,盲盒糖水、大满贯、桃胶
柳州肥姨妈大骨螺蛳粉(五角场店),￥30,原味柳州螺蛳粉、柳州冰渣豆腐花、金丝大炸蛋
笼香斋·上海小笼,￥32,鲜肉小笼、金牌炸猪排、鲜肉小馄饨
Popeyes炸鸡·汉堡·奶昔(五角场万达店),￥33,美式松脆原味鸡、黄金空气脆鸡柳、香辣酪乳鸡腿堡
阿祥嫂隆江猪脚饭(五角场店),￥34,隆江猪脚饭、四点金饭、猪脚拼烧鸭饭
茶米有言(五角场合生汇店),￥16,金玉米布炒米茶、鲜米豆花煎米茶、野杏子鲜米冰浆
ColiCrepe可丽饼,￥36,原味焦糖布蕾可丽饼、巧克力脑袋可丽饼、香蕉巧克力可丽饼
ZAKUZAKU(合生汇店),￥37,原味泡芙限定泡芙、奶油冰淇淋、冰淇淋cup
