name,avg_price,recommended_dishes
桂满陇·朝茶暮酒(五角场万达店),￥70,黑胡椒烤叫花鸡、招牌春韭鲜虾脆薄饼、招牌杭椒牛蛙
捡角台湾食堂(杨浦店),￥47,南部肉燥饭、北部卤肉饭、大肠拼小肠
HOT CRUSH趁热集合·现烤面包(合生汇店),￥41,趁热蜂蜜开心果坚果棒、趁热奶酪核桃马卡龙、黑松露惠灵顿牛排可颂
阿元来了(合生汇店),￥40,时慢煮阿元卤肉饭、西门町蚵仔大肠面线、士林豪大大鸡排
北丐先生·野馄饨烧烤(合生汇店),￥65,野馄饨、叫花鸡架、羊肉串
冰城老于家(杨浦关山路店),￥73,锅包肉、拍照大饼、酸菜猪肉水饺
延正食-新延边菜(上海首店),￥79,气泡锅包肉、乌喇满族熏鸡（半只）、传统石锅拌饭
文通冰室(五角场万达店),￥48,黯然销魂饭、暴富漏奶华、小熊冰冰茶
争鲜回转寿司(杨浦合生汇PLUS店),￥68,三文鱼刺身、法式香煎鹅肝、焦糖鲑
南京大牌档(上海百联店),￥70,民国美龄粥、金陵烤鸭、天王烤鸭包
肉肉大米(五角场合生汇店),￥76,招牌汉堡肉、芝士汉堡、温泉蛋
谭五花.潮汕干蒸菜(政民路店),￥51,干蒸鲜排骨、沙葱鲜牛肉、干蒸沙姜黄花鱼
the Roll’ING手作瑞士卷专门店(城市集市合生汇店),￥46,60%至臻生巧瑞士卷、黑金抹茶抱抱卷、法式浓醇芝士卷
新发现(五角场万达店),￥65,蛋黄鸡翅、石锅海鲜豆腐、面包遇上冰激凌
为青春地摊烧烤(吉浦湾店),￥78,大油边、羊肉串、牛肥瘦
先启半步颠小酒馆(合生汇店),￥80,泰椒土豆丝、小炒汤圆、吃不得辣子鸡
初唤·台北酒菜市场(大学路店),￥50,腹愁者卤肉饭、选择困难就半筋半肉面、有钱任性炸味拼盘
绿茶餐厅(国华广场店),￥65,粉丝裹虾、面包诱惑、龙井烤鸡
外婆家(百联又一城店),￥65,外婆茶香鸡、外婆小牛肉、鲜椒白条鱼
小匠喜·江西菜(国华广场店),￥79,匠喜辣椒炒手打肉、黄豆糯烧卤鸡脚、江西瓦罐豌豆排骨汤
小绪牧场·牛肉小火锅(杨浦国华店),￥53,牛上脑、原切牛小排、安格斯牛板腱
艾宴氏·自助旋转火锅(五角场万达店),￥58,粉嘟嘟小汉堡、谷饲牛肉卷、甜瓜
翠华餐厅(复旦管院店),￥75,神之叉烧饭、珍珠黑啵啵雪堡、秘制海南鸡
和田食堂·抓饭拌面羊肉串,￥46,羊排手抓饭、羊肉串、过油肉拌面
鄉信·乡野江西菜(五角场万达广场店),￥69,余干椒小炒肉、芋头牛肉、小炒黄牛肉
糖小妙可丽饼(万达广场店),￥41,焦糖布蕾可丽饼、抹茶芒果布蕾可丽饼、草莓焦糖可丽饼
玛嘉烈(大学路店),￥55,传统葡国鸡饭、葡式手打鸳鸯、赌王最爱炭火鸡煲蟹
山林野果·云南食集·烧烤(江湾里MEET678店),￥58,招牌酱香牛腱铜锅米线、腾冲灵魂肉酱酸汤米线、版纳薄荷牛肉
辛香汇·现炒川菜(巴黎春天五角场店),￥60,钵钵鸡、招牌坨坨鱼、馋嘴牛蛙
贵客多·苗岭人家(五角场店),￥80,宫爆板筋、苗岭怪噜炒饭、干锅薄荷牛肉
喜牛· 潮汕牛肉饭· 牛肉自助打边炉(国华广场店),￥45,招牌酸菜鲜炒牛肉饭、特色半筋半肉牛肉面、番茄滑蛋鲜炒牛肉饭
坡摊·山野烙锅烤肉(杨浦大学路店),￥73,厚切牛五花、现拌小肥牛、蘸料自助
巡湘记·乡野湖南菜(五角场万达店),￥76,招牌酱椒鱼头、现炒鲜牛肉、擂辣椒皮蛋
樱束屋二次元动漫cos主题桌游咖啡厅(五角场店),￥79,蛋包饭、妹汁、冰淇淋
蚕室家•Korean Food Cafe,￥41,牛肉紫菜包饭、鸡蛋豆皮包饭、辣炒年糕
辛香汇·锦里丨现炒川菜(国华广场店),￥60,钵钵鸡、毛血旺、水煮鱼
淘小馆·上海本帮菜(国华广场店),￥78,姆妈的红烧肉、花蛤猪肝、灵魂猪油菜饭
